,Conference,Year,Title,Novelty,Domain,Note
35,IEEE International Conference on Robotics and Automation,2020,Long-Term Robot Navigation in Indoor Environments Estimating Patterns in Traversability Changes,,,
36,IEEE International Conference on Robotics and Automation,2020,Sample-and-computation-efficient Probabilistic Model Predictive Control with Random Features,,,
37,IEEE International Conference on Robotics and Automation,2020,Sample-Efficient Robot Motion Learning using Gaussian Process Latent Variable Models,,,
38,IEEE International Conference on Robotics and Automation,2020,Iterative Learning based feedforward control for Transition of a Biplane-Quadrotor Tailsitter UAS,,,
39,IEEE International Conference on Robotics and Automation,2020,Reinforcement Learning for Adaptive Illumination with X-rays,,,
40,IEEE International Conference on Robotics and Automation,2020,Efficient Updates for Data Association with Mixtures of Gaussian Processes,,,
41,IEEE International Conference on Robotics and Automation,2020,Real-time Data Driven Precision Estimator for RAVEN-II Surgical Robot End Effector Position,,,
42,IEEE International Conference on Robotics and Automation,2020,Temporal Segmentation of Surgical Sub-tasks through Deep Learning with Multiple Data Sources,,,
43,IEEE International Conference on Robotics and Automation,2020,Controlling Assistive Robots with Learned Latent Actions,,,
44,IEEE International Conference on Robotics and Automation,2020,On the efficient control of series-parallel compliant articulated robots,,,
45,IEEE International Conference on Robotics and Automation,2020,Preintegrated Velocity Bias Estimation to Overcome Contact Nonlinearities in Legged Robot Odometry,,,
46,IEEE International Conference on Robotics and Automation,2020,Optimized Foothold Planning and Posture Searching for Energy-Efficient Quadruped Locomotion over Challenging Terrains,,,
47,IEEE International Conference on Robotics and Automation,2020,Extracting Legged Locomotion Heuristics with Regularized Predictive Control,,,
48,IEEE International Conference on Robotics and Automation,2020,Learning Generalizable Locomotion Skills with Hierarchical Reinforcement Learning,,,
49,IEEE International Conference on Robotics and Automation,2020,"SoRX: A Soft Pneumatic Hexapedal Robot to Traverse Rough, Steep, and Unstable Terrain",,,
50,IEEE International Conference on Robotics and Automation,2020,UBAT: On Jointly Optimizing UAV Trajectories and Placement of Battery Swap Stations,,,
51,IEEE International Conference on Robotics and Automation,2020,Efficient Multi-Agent Trajectory Planning with Feasibility Guarantee using Relative Bernstein Polynomial,,,
52,IEEE International Conference on Robotics and Automation,2020,Optimal Sequential Task Assignment and Path Finding for Multi-Agent Robotic Assembly Planning,,,
53,IEEE International Conference on Robotics and Automation,2020,Cooperative Multi-Robot Navigation in Dynamic Environment with Deep Reinforcement Learning,,,
54,IEEE International Conference on Robotics and Automation,2020,"Adaptive Directional Path Planner for Real-Time, Energy-Efficient, Robust Navigation of Mobile Robots",,,
55,IEEE International Conference on Robotics and Automation,2020,Exploiting sparsity in robot trajectory optimization with direct collocation and geometric algorithms,,,
56,IEEE International Conference on Robotics and Automation,2020,Bi-Convex Approximation of Non-Holonomic Trajectory Optimization,,,
57,IEEE International Conference on Robotics and Automation,2020,"Fast, Versatile, and Open-loop Stable Running Behaviors with Proprioceptive-only Sensing using Model-based Optimization",,,
58,IEEE International Conference on Robotics and Automation,2020,Wasserstein Distributionally Robust Motion Planning and Control with Safety Constraints Using Conditional Value-at-Risk,,,
59,IEEE International Conference on Robotics and Automation,2020,Grasping Fragile Objects Using A Stress-Minimization Metric,,,
60,IEEE International Conference on Robotics and Automation,2020,Grasp Control for Enhancing Dexterity of Parallel Grippers,,,
61,IEEE International Conference on Robotics and Automation,2020,Theoretical Derivation and Realization of Adaptive Grasping Based on Rotational Incipient Slip Detection,,,
62,IEEE International Conference on Robotics and Automation,2020,Grasp State Assessment of Deformable Objects Using Visual-Tactile Fusion Perception,,,
63,IEEE International Conference on Robotics and Automation,2020,Beyond Top-Grasps Through Scene Completion,,,
64,IEEE International Conference on Robotics and Automation,2020,Dex-Net AR: Distributed Deep Grasp Planning Using a Commodity Cellphone and Augmented Reality App,,,
65,IEEE International Conference on Robotics and Automation,2020,OmniSLAM: Omnidirectional Localization and Dense Mapping for Wide-baseline Multi-camera Systems,,,
66,IEEE International Conference on Robotics and Automation,2020,What’s in my Room? Object Recognition on Indoor Panoramic Images,,,
67,IEEE International Conference on Robotics and Automation,2020,FisheyeDistanceNet: Self-Supervised Scale-Aware Distance Estimation using Monocular Fisheye Camera for Autonomous Driving,,,
68,IEEE International Conference on Robotics and Automation,2020,360SD-Net: 360° Stereo Depth Estimation with Learnable Cost Volume,,,
69,IEEE International Conference on Robotics and Automation,2020,Omnidirectional Depth Extension Networks,,,
70,IEEE International Conference on Robotics and Automation,2020,3D Orientation Estimation and Vanishing Point Extraction from Single Panoramas Using Convolutional Neural Network,,,
71,IEEE International Conference on Robotics and Automation,2020,Curvature sensing with a spherical tactile sensor using the color-interference of a marker array,,,
72,IEEE International Conference on Robotics and Automation,2020,Center-of-Mass-based Robust Grasp Planning for Unknown Objects Using Tactile-Visual Sensors,,,
73,IEEE International Conference on Robotics and Automation,2020,OmniTact: A Multi-Directional High-Resolution Touch Sensor,,,
74,IEEE International Conference on Robotics and Automation,2020,Highly sensitive bio-inspired sensor for fine surface exploration and characterization,,,
75,IEEE International Conference on Robotics and Automation,2020,Implementing Tactile and Proximity Sensing for Crack Detection,,,
76,IEEE International Conference on Robotics and Automation,2020,Novel Proximity Sensor for Realizing Tactile Sense in Suction Cups,,,
77,IEEE International Conference on Robotics and Automation,2020,"Constrained Filtering-based Fusion of Images, Events, and Inertial Measurements for Pose Estimation",,,
78,IEEE International Conference on Robotics and Automation,2020,Schmidt-EKF-based Visual-Inertial Moving Object Tracking,,,
79,IEEE International Conference on Robotics and Automation,2020,Learning View and Target Invariant Visual Servoing for Navigation,,,
80,IEEE International Conference on Robotics and Automation,2020,Tightly-Coupled Single-Anchor Ultra-wideband-Aided Monocular Visual Odometry System,,,
81,IEEE International Conference on Robotics and Automation,2020,Scaling Local Control to Large-Scale Topological Navigation,,,
82,IEEE International Conference on Robotics and Automation,2020,Zero-shot Imitation Learning from Demonstrations for Legged Robot Visual Navigation,,,
83,IEEE International Conference on Robotics and Automation,2020,Pressure-Driven Manipulator with Variable Stiffness Structure,,,
84,IEEE International Conference on Robotics and Automation,2020,Human Interface for Teleoperated Object Manipulation with a Soft Growing Robot,,,
85,IEEE International Conference on Robotics and Automation,2020,Modulating hip stiffness with a robotic exoskeleton immediately changes gait,,,
86,IEEE International Conference on Robotics and Automation,2020,Swing-Assist for Enhancing Stair Ambulation in a Primarily-Passive Knee Prosthesis,,,
87,IEEE International Conference on Robotics and Automation,2020,Proof-of-concept of a Pneumatic Ankle Foot Orthosis Powered by a Custom Compressor for Drop Foot Correction,,,
88,IEEE International Conference on Robotics and Automation,2020,Knowledge-Guided Reinforcement Learning Control for Robotic Lower Limb Prosthesis,,,
89,IEEE International Conference on Robotics and Automation,2020,Development of a Twisted String Actuator-based Exoskeleton for Hip Joint Assistance in Lifting Tasks,,,
90,IEEE International Conference on Robotics and Automation,2020,A Novel Portable Lower Limb Exoskeleton for Gravity Compensation during Walking,,,
91,IEEE International Conference on Robotics and Automation,2020,"Steerable Burrowing Robot: Design, Modeling and Experiments",,,
92,IEEE International Conference on Robotics and Automation,2020,High Force Density Gripping with UV Activation and Sacrificial Adhesion,,,
93,IEEE International Conference on Robotics and Automation,2020,Stiffness optimization of a cable driven parallel robot for additive manufacturing,,,
94,IEEE International Conference on Robotics and Automation,2020,"CAMI - Analysis, Design and Realization of a Force-Compliant Variable Cam System",,,
95,IEEE International Conference on Robotics and Automation,2020,Using Manipulation to Enable Adaptive Ground Mobility,,,
96,IEEE International Conference on Robotics and Automation,2020,"SNIAE-SSE Deformation Mechanism Enabled Scalable Multicopter: Design, Modeling and Flight Performance Validation",,,
97,IEEE International Conference on Robotics and Automation,2020,Cooperative Autonomy and Data Fusion for Underwater Surveillance With Networked AUVs,,,
98,IEEE International Conference on Robotics and Automation,2020,Bidirectional Resonant Propulsion and Localization for AUVs,,,
99,IEEE International Conference on Robotics and Automation,2020,Hierarchical Planning in Time-Dependent Flow Fields for Marine Robots,,,
100,IEEE International Conference on Robotics and Automation,2020,Navigation in the Presence of Obstacles for an Agile Autonomous Underwater Vehicle,,,
101,IEEE International Conference on Robotics and Automation,2020,Underwater Image Super-Resolution using Deep Residual Multipliers,,,
102,IEEE International Conference on Robotics and Automation,2020,Nonlinear Synchronization Control for Short-Range Mobile Sensors Drifting in Geophysical Flows,,,
103,IEEE International Conference on Robotics and Automation,2020,Energy-based Safety in Series Elastic Actuation,,,
104,IEEE International Conference on Robotics and Automation,2020,Safe high impedance control of a series-elastic actuator with a disturbance observer,,,
105,IEEE International Conference on Robotics and Automation,2020,Variable Stiffness Springs for Energy Storage Applications,,,
106,IEEE International Conference on Robotics and Automation,2020,Parallel-motion Thick Origami Structure for Robotic Design,,,
107,IEEE International Conference on Robotics and Automation,2020,Real-time Simulation of Non-Deformable Continuous Tracks with Explicit Consideration of Friction and Grouser Geometry,,,
108,IEEE International Conference on Robotics and Automation,2020,Test Your SLAM! The SubT-Tunnel dataset and metric for mapping,,,
109,IEEE International Conference on Robotics and Automation,2020,Uncertainty Measured Markov Decision Process in Dynamic Environments,,,
110,IEEE International Conference on Robotics and Automation,2020,Natural Scene Facial Expression Recognition with Dimension Reduction Network,,,
111,IEEE International Conference on Robotics and Automation,2020,Hand Pose Estimation for Hand-Object Interaction Cases using Augmented Autoencoder,,,
112,IEEE International Conference on Robotics and Automation,2020,Accurate detection and 3D localization of humans using a novel YOLO-based RGB-D fusion approach and synthetic training data,,,
113,IEEE International Conference on Robotics and Automation,2020,Wide-range Load Sensor Using Vacuum Sealed Quartz Crystal Resonator for Simultaneous Biosignals Measurement on Bed,,,
114,IEEE International Conference on Robotics and Automation,2020,Joint Pedestrian Detection and Risk-level Prediction with Motion-Representation-by-Detection,,,
115,IEEE International Conference on Robotics and Automation,2020,Long-term Place Recognition through Worst-case Graph Matching to Integrate Landmark Appearances and Spatial Relationships,,,
116,IEEE International Conference on Robotics and Automation,2020,Linear RGB-D SLAM for Atlanta World,,,
117,IEEE International Conference on Robotics and Automation,2020,Stereo Visual Inertial Odometry with Online Baseline Calibration,,,
118,IEEE International Conference on Robotics and Automation,2020,Lidar-Monocular Visual Odometry using Point and Line Features,,,
119,IEEE International Conference on Robotics and Automation,2020,Probabilistic Data Association via Mixture Models for Robust Semantic SLAM,,,
120,IEEE International Conference on Robotics and Automation,2020,Closed-Loop Benchmarking of Stereo Visual-Inertial SLAM Systems: Understanding the Impact of Drift and Latency on Tracking Accuracy,,,
121,IEEE International Conference on Robotics and Automation,2020,PointAtrousGraph: Deep Hierarchical Encoder-Decoder with Point Atrous Convolution for Unorganized 3D Points,,,
122,IEEE International Conference on Robotics and Automation,2020,Learning error models for graph SLAM,,,
123,IEEE International Conference on Robotics and Automation,2020,SMArT: Training Shallow Memory-aware Transformers for Robotic Explainability,,,
124,IEEE International Conference on Robotics and Automation,2020,A 3D-Deep-Learning-based Augmented Reality Calibration Method for Robotic Environments using Depth Sensor Data,,,
125,IEEE International Conference on Robotics and Automation,2020,Adversarial Feature Training for Generalizable Robotic Visuomotor Control,,,
126,IEEE International Conference on Robotics and Automation,2020,Efficient Bimanual Manipulation Using Learned Task Schemas,,,
127,IEEE International Conference on Robotics and Automation,2020,Real-Time UAV Path Planning for Autonomous Urban Scene Reconstruction,,,
128,IEEE International Conference on Robotics and Automation,2020,A Fast Marching Gradient Sampling Strategy for Motion Planning using an Informed Certificate Set,,,
129,IEEE International Conference on Robotics and Automation,2020,Privacy-Aware UAV Flights through Self-Configuring Motion Planning,,,
130,IEEE International Conference on Robotics and Automation,2020,Improved C-Space Exploration and Path Planning for Robotic Manipulators Using Distance Information,,,
131,IEEE International Conference on Robotics and Automation,2020,Tuning-Free Contact-Implicit Trajectory Optimization,,,
132,IEEE International Conference on Robotics and Automation,2020,Robust Real-time UAV Replanning Using Guided Gradient-based Optimization and Topological Paths,,,
133,IEEE International Conference on Robotics and Automation,2020,Learning-based Path Planning for Autonomous Exploration of Subterranean Environments,,,
134,IEEE International Conference on Robotics and Automation,2020,Visual-Inertial Telepresence for Aerial Manipulation,,,
135,IEEE International Conference on Robotics and Automation,2020,Distributed Rotor-Based Vibration Suppression for Flexible Object Transport and Manipulation,,,
136,IEEE International Conference on Robotics and Automation,2020,Aerial Manipulation using Model Predictive Control for Opening a Hinged Door,,,
137,IEEE International Conference on Robotics and Automation,2020,Integrated Motion Planner for Real-time Aerial Videography with a Drone in a Dense Environment,,,
138,IEEE International Conference on Robotics and Automation,2020,FG-GMM-based Interactive Behavior Estimation for Autonomous Driving Vehicles in Ramp Merging Control,,,
139,IEEE International Conference on Robotics and Automation,2020,Cooperative Perception and Localization for Cooperative Driving,,,
140,IEEE International Conference on Robotics and Automation,2020,Learning to Drive Off Road on Smooth Terrain in Unstructured Environments Using an On-Board Camera and Sparse Aerial Images,,,
141,IEEE International Conference on Robotics and Automation,2020,RoadTrack: Realtime Tracking of Road Agents in Dense and Heterogeneous Environments,,,
142,IEEE International Conference on Robotics and Automation,2020,Association-Free Multilateration Based on Times of Arrival,,,
143,IEEE International Conference on Robotics and Automation,2020,Adversarial Feature Disentanglement for Place Recognition Across Changing Appearance,,,
144,IEEE International Conference on Robotics and Automation,2020,A Fast and Accurate Solution for Pose Estimation from 3D Correspondences,,,
145,IEEE International Conference on Robotics and Automation,2020,Ground Texture Based Localization Using Compact Binary Descriptors,,,
146,IEEE International Conference on Robotics and Automation,2020,Reliable Data Association for Feature-Based Vehicle Localization using Geometric Hashing Methods,,,
147,IEEE International Conference on Robotics and Automation,2020,Context-Aware Task Execution Using Apprenticeship Learning,,,
148,IEEE International Conference on Robotics and Automation,2020,Hierarchical Interest-Driven Goal Babbling for Efficient Bootstrapping of Sensorimotor skills,,,
149,IEEE International Conference on Robotics and Automation,2020,Robot-Supervised Learning for Object Segmentation,,,
150,IEEE International Conference on Robotics and Automation,2020,Gradient and Log-based Active Learning for Semantic Segmentation of Crop and Weed for Agricultural Robots,,,
151,IEEE International Conference on Robotics and Automation,2020,Learning How to Walk: Warm-starting Optimal Control Solver with Memory of Motion,,,
152,IEEE International Conference on Robotics and Automation,2020,Feedback Linearization for Uncertain Systems via Reinforcement Learning,,,
153,IEEE International Conference on Robotics and Automation,2020,Multi-Task Recurrent Neural Network for Surgical Gesture Recognition and Progress Prediction,,,
154,IEEE International Conference on Robotics and Automation,2020,Neural Network based Inverse Dynamics Identification and External Force Estimation on the da Vinci Research Kit,,,
155,IEEE International Conference on Robotics and Automation,2020,Reliable Trajectories for Dynamic Quadrupeds using Analytical Costs and Learned Initializations,,,
156,IEEE International Conference on Robotics and Automation,2020,On the Hardware Feasibility of Nonlinear Trajectory Optimization for Legged Locomotion based on a Simplified Dynamics,,,
157,IEEE International Conference on Robotics and Automation,2020,Agile Legged-Wheeled Reconfigurable Navigation Planner Applied on the CENTAURO Robot,,,
158,IEEE International Conference on Robotics and Automation,2020,Bounded haptic teleoperation of a quadruped robot’s foot posture for sensing and manipulation,,,
159,IEEE International Conference on Robotics and Automation,2020,Pinbot: A Walking Robot with Locking Pin Arrays for Passive Adaptability to Rough Terrains,,,
160,IEEE International Conference on Robotics and Automation,2020,Planning for the Unexpected: Explicitly Optimizing Motions for Ground Uncertainty in Running,,,
161,IEEE International Conference on Robotics and Automation,2020,One-Shot Multi-Path Planning for Robotic Applications Using Fully Convolutional Networks,,,
162,IEEE International Conference on Robotics and Automation,2020,Efficient Iterative Linear-Quadratic Approximations for Nonlinear Multi-Player General-Sum Differential Games,,,
163,IEEE International Conference on Robotics and Automation,2020,Path-Following Model Predictive Control of Ballbots,,,
164,IEEE International Conference on Robotics and Automation,2020,Underactuated Waypoint Trajectory Optimization for Light Painting Photography,,,
165,IEEE International Conference on Robotics and Automation,2020,Whole-Body Walking Generation using Contact Parametrization: A Non-Linear Trajectory Optimization Approach,,,
166,IEEE International Conference on Robotics and Automation,2020,Controlling Fast Height Variation of an Actively Articulated Wheeled Humanoid Robot Using Center of Mass Trajectory,,,
167,IEEE International Conference on Robotics and Automation,2020,Contact-Aware Controller Design for Complementarity Systems,,,
168,IEEE International Conference on Robotics and Automation,2020,Learning to Generate 6-DoF Grasp Poses with Reachability Awareness,,,
169,IEEE International Conference on Robotics and Automation,2020,Enhancing Grasp Pose Computation in Gripper Workspace Spheres,,,
170,IEEE International Conference on Robotics and Automation,2020,Minimal Work: A Grasp Quality Metric for Deformable Hollow Objects,,,
171,IEEE International Conference on Robotics and Automation,2020,Hierarchical 6-DoF Grasping with Approaching Direction Selection,,,
172,IEEE International Conference on Robotics and Automation,2020,Geometric Characterization of Two-Finger Basket Grasps of 2-D Objects: Contact Space Formulation,,,
173,IEEE International Conference on Robotics and Automation,2020,Robust Sound Source Localization considering Similarity of Back-Propagation Signals,,,
174,IEEE International Conference on Robotics and Automation,2020,BatVision: Learning to See 3D Spatial Layout with Two Ears,,,
175,IEEE International Conference on Robotics and Automation,2020,Self-Supervised Learning for Alignment of Objects and Sound,,,
176,IEEE International Conference on Robotics and Automation,2020,The OmniScape Dataset,,,
177,IEEE International Conference on Robotics and Automation,2020,"An ERT-based Robotic Skin with Sparsely Distributed Electrodes: Structure, Fabrication, and DNN-based Signal Processing",,,
178,IEEE International Conference on Robotics and Automation,2020,FBG-Based Triaxial Force Sensor Integrated with an Eccentrically Configured Imaging Probe for Endoluminal Optical Biopsy,,,
179,IEEE International Conference on Robotics and Automation,2020,Calibrating a Soft ERT-Based Tactile Sensor with a Multiphysics Model and Sim-to-real Transfer Learning,,,
180,IEEE International Conference on Robotics and Automation,2020,Sim-to-Real Transfer for Optical Tactile Sensing,,,
181,IEEE International Conference on Robotics and Automation,2020,Semi-Empirical Simulation of Learned Force Response Models for Heterogeneous Elastic Objects,,,
182,IEEE International Conference on Robotics and Automation,2020,Low-Cost Fiducial-based 6-Axis Force-Torque Sensor,,,
183,IEEE International Conference on Robotics and Automation,2020,Reliable frame-to-frame motion estimation for vehicle-mounted surround-view camera systems,,,
184,IEEE International Conference on Robotics and Automation,2020,Enabling Topological Planning with Monocular Vision,,,
185,IEEE International Conference on Robotics and Automation,2020,DeepMEL: Compiling Visual Multi-Experience Localization into a Deep Neural Network,,,
186,IEEE International Conference on Robotics and Automation,2020,SnapNav: Learning Mapless Visual Navigation with Sparse Directional Guidance and Visual Reference,,,
187,IEEE International Conference on Robotics and Automation,2020,Kimera: an Open-Source Library for Real-Time Metric-Semantic Localization and Mapping,,,
188,IEEE International Conference on Robotics and Automation,2020,CityLearn: Diverse Real-World Environments for Sample-Efficient Navigation Policy Learning,,,
189,IEEE International Conference on Robotics and Automation,2020,High Resolution Soft Tactile Interface for Physical Human-Robot Interaction,,,
190,IEEE International Conference on Robotics and Automation,2020,Design and Validation of a Soft Robotic Ankle-Foot Orthosis (SR-AFO) Exosuit for Inversion and Eversion Ankle Support,,,
191,IEEE International Conference on Robotics and Automation,2020,Velocity Field based Active-Assistive Control for Upper Limb Rehabilitation Exoskeleton Robot,,,
192,IEEE International Conference on Robotics and Automation,2020,"Design, Development, and Control of a Tendon-actuated Exoskeleton for Wrist Rehabilitation and Training",,,
193,IEEE International Conference on Robotics and Automation,2020,Impedance Control of a Transfemoral Prosthesis using Continuously Varying Ankle Impedances and Multiple Equilibria,,,
194,IEEE International Conference on Robotics and Automation,2020,Gait patterns generation based on basis functions interpolation for the TWIN lower-limb exoskeleton,,,
195,IEEE International Conference on Robotics and Automation,2020,Human-Centric Active Perception for Autonomous Observation,,,
196,IEEE International Conference on Robotics and Automation,2020,Prediction of Human Full-Body Movements with Motion Optimization and Recurrent Neural Networks,,,
197,IEEE International Conference on Robotics and Automation,2020,Predicting and Optimizing Ergonomics in Physical Human-Robot Cooperation Tasks,,,
198,IEEE International Conference on Robotics and Automation,2020,Active Reward Learning for Co-Robotic Vision Based Exploration in Bandwidth Limited Environments,,,
199,IEEE International Conference on Robotics and Automation,2020,VariPath: A Database for Modelling the Variance of Human Pathways in Manual and HRC Processes with Heavy-Duty Robots,,,
200,IEEE International Conference on Robotics and Automation,2020,A Compact and Low-cost Robotic Manipulator Driven by Supercoiled Polymer Actuators,,,
201,IEEE International Conference on Robotics and Automation,2020,Internally-Balanced Magnetic Mechanisms Using a Magnetic Spring for Producing a Large Amplified Clamping Force,,,
202,IEEE International Conference on Robotics and Automation,2020,A Continuum Manipulator with Closed-form Inverse Kinematics and Independently Tunable Stiffness,,,
203,IEEE International Conference on Robotics and Automation,2020,Design and Compensation Control of a Flexible Instrument for Endoscopic Surgery,,,
204,IEEE International Conference on Robotics and Automation,2020,Distance and Steering Heuristics for Streamline-Based Flow Field Planning,,,
205,IEEE International Conference on Robotics and Automation,2020,Enhancing Coral Reef Monitoring Utilizing a Deep Semi-Supervised Learning Approach,,,
206,IEEE International Conference on Robotics and Automation,2020,DOB-Net: Actively Rejecting Unknown Excessive Time-Varying Disturbances,,,
207,IEEE International Conference on Robotics and Automation,2020,Demonstration of Autonomous Nested Search for Local Maxima Using an Unmanned Underwater Vehicle,,,
208,IEEE International Conference on Robotics and Automation,2020,Towards distortion based underwater domed viewport camera calibration,,,
209,IEEE International Conference on Robotics and Automation,2020,How far are Pneumatic Artificial Muscles from biological muscles?,,,
210,IEEE International Conference on Robotics and Automation,2020,Shared Control Templates for Assistive Robotics,,,
211,IEEE International Conference on Robotics and Automation,2020,Enabling Robots to Understand Incomplete Natural Language Instructions Using Commonsense Reasoning,,,
212,IEEE International Conference on Robotics and Automation,2020,A Holistic Approach in Designing Tabletop Robot’s Expressivity,,,
213,IEEE International Conference on Robotics and Automation,2020,DirtNet: Visual Dirt Detection for Autonomous Cleaning Robots,,,
214,IEEE International Conference on Robotics and Automation,2020,Semantic Linking Maps for Active Visual Object Search,,,
215,IEEE International Conference on Robotics and Automation,2020,Active Depth Estimation: Stability Analysis and its Applications,,,
216,IEEE International Conference on Robotics and Automation,2020,VALID: A Comprehensive Virtual Aerial Image Dataset,,,
217,IEEE International Conference on Robotics and Automation,2020,Intensity Scan Context: Coding Intensity and Geometry Relations for Loop Closure Detection,,,
218,IEEE International Conference on Robotics and Automation,2020,TextSLAM: Visual SLAM with Planar Text Features,,,
219,IEEE International Conference on Robotics and Automation,2020,FlowNorm: A Learning-based Method for Increasing Convergence Range of Direct Alignment,,,
220,IEEE International Conference on Robotics and Automation,2020,Redesigning SLAM for Arbitrary Multi-Camera Systems,,,
221,IEEE International Conference on Robotics and Automation,2020,Dynamic SLAM: The Need For Speed,,,
222,IEEE International Conference on Robotics and Automation,2020,∇SLAM: Dense SLAM meets Automatic Differentiation,,,
223,IEEE International Conference on Robotics and Automation,2020,Learning local behavioral sequences to better infer non-local properties in real multi-robot systems,,,
224,IEEE International Conference on Robotics and Automation,2020,Unsupervised Geometry-Aware Deep LiDAR Odometry,,,
225,IEEE International Conference on Robotics and Automation,2020,SA-Net: Robust State-Action Recognition for Learning from Observations,,,
226,IEEE International Conference on Robotics and Automation,2020,A Generative Approach for Socially Compliant Navigation,,,
227,IEEE International Conference on Robotics and Automation,2020,Scalable Multi-Task Imitation Learning with Autonomous Improvement,,,
228,IEEE International Conference on Robotics and Automation,2020,Motion2Vec: Semi-Supervised Representation Learning from Surgical Videos,,,
229,IEEE International Conference on Robotics and Automation,2020,A New Path Planning Architecture to Consider Motion Uncertainty in Natural Environment,,,
230,IEEE International Conference on Robotics and Automation,2020,Revisiting the Asymptotic Optimality of RRT,,,
231,IEEE International Conference on Robotics and Automation,2020,Sample Complexity of Probabilistic Roadmaps via ε-nets,,,
232,IEEE International Conference on Robotics and Automation,2020,Reinforcement Learning Based Manipulation Skill Transferring for Robot-assisted Minimally Invasive Surgery,,,
233,IEEE International Conference on Robotics and Automation,2020,Safe Mission Planning under Dynamical Uncertainties,,,
234,IEEE International Conference on Robotics and Automation,2020,An Iterative Quadratic Method for General-Sum Differential Games with Feedback Linearizable Dynamics,,,
235,IEEE International Conference on Robotics and Automation,2020,A Morphable Aerial-Aquatic Quadrotor with Coupled Symmetric Thrust Vectoring,,,
