,Conference,Year,Title,Novelty,Domain,Note
23,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model-based Co-simulation of Non-smooth Mechanical Systems (ID: 256),,,
24,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Further investigation on LuGre friction force model under normal load variation (ID: 225),,,
25,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody fatigue assessment in industrial mechanisms considering wear in revolute joints (ID: 252),,,
26,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The Tippedisk: a minimal model for friction-induced inversion (ID: 113),,,
27,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Do we need to impose constraints at acceleration level in the nonsmooth generalized-alpha method? (ID: 261),,,
28,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Planar Wrapping and Stretching of a Thick Strand on a Surface by Continuous Integration (ID: 183),,,
29,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Train Bogie Dynamics Modeling with an Emphasis on Contact Mechanics in a Multibody Model (ID: 262),,,
30,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient impact simulation using the flexible natural coordinate formulation and pinball model (ID: 266),,,
31,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long-term rolling motions of a basketball on the rim (ID: 241),,,
32,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical Analysis of Contact-Impact Problems using Finite Element Method (ID: 124),,,
33,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Port crane guidance dynamics analysed via the Multibody approach (ID: 214),,,
34,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Nonsmooth Dynamics Perspective on State Observer Design for Mechanical Systems with Unilateral Constraints (ID:140),,,
35,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-smooth numerical solution for Coulomb friction and rolling resistance (ID: 267),,,
36,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the simulation of freewheels using the methods of non-smooth dynamics (ID: 217),,,
37,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Manufacturing tolerance optimization of circuit breaker mechanism using Multibody Dynamic simulation (ID: 259),,,
38,ECCOMAS Thematic Conference on Multibody Dynamics,2021,3D LuGre model for multibody systems involving contacts with stick-slip (ID: 175),,,
39,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An impact model of three-dimensional rigid rocking blocks (ID: 150),,,
40,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synchronous Contact/Impact Events Modelling With A Smooth-Based Approach (ID: 114),,,
41,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Demystifying the Mechanical and Numerical Concepts Underlying Multibody System Dynamics: Development of an International MOOC (ID: 194),,,
42,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Validation of MBD-CFD Co-Simulation for Corrugating Machine (ID: 115),,,
43,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of a Cyber-Physical Test Bench for E-Powertrain Components (ID: 119),,,
44,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An improved absolute coordinate formulation (ACF) for flexible multibody dynamics (ID: 134),,,
45,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Computation of internal forces in beam elements with constraint torsional warping (ID: 218),,,
46,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modelling of dielectric elastomer actuated flexible multibody dynamics (ID: 135),,,
47,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sloshing Dynamics Estimation for Liquid-filled Containers under 2-Dimensional Excitation (ID: 274),,,
48,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Eigenfrequency assignment to flexible-link multibody systems using Taylor expansion of a parametric modal model (ID:236),,,
49,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Satisfying floating frame constraints in an absolute interface coordinates floating frame formulation (ID: 197),,,
50,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Dynamics and Sensitivity Analysis in the Design of a Morphing Leading Edge for High-Performance Sailplanes (ID: 203),,,
51,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simultaneous Space-Time Discretization for Controlling the Motion of Rigid Bodies Actuated Through Elastic Ropes (ID: 153),,,
52,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multipoint Constraints for Interface Reduction in Flexible Multibody Systems (ID: 205),,,
53,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Influence of the Flexibility of the Railway Locomotive Bogies Components on its Dynamics (ID: 273),,,
54,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Impact Simulations of Hierarchically Refined Isogeometric Models (ID: 131),,,
55,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A toolkit of componets to design a soft gripper (ID: 186),,,
56,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Adjoint optimisation of worm-like body locomotion (ID: 248),,,
57,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Topology Optimization for Eigenfrequencies of a Flexible Multibody System (ID: 184),,,
58,ECCOMAS Thematic Conference on Multibody Dynamics,2021,DYNAMIC ANALYSIS OF AN INTERNAL TURNING TOOL WITH ELASTIC FOUNDATION (WINKLER MODEL) (ID: 222),,,
59,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-linear beam formulation with NURBS interpolation for the simulation of sliding contacts (ID: 181),,,
60,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Coupled multibody model of industrial robot with milling simulator for trajectory compensation (ID: 139),,,
61,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Tensorial deformation measures for the floating frame of reference formulation (ID: 159),,,
62,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Direct Sensitivity Analysis of Spatial Multibody Systems with Friction using Penalty Formulation (ID: 260),,,
63,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An iterative procedure for dynamic integrity assessment (ID: 179),,,
64,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Hamiltonian-based Optimal Control of Multibody Systems in the Presence of Artificial Discontinuities (ID: 198),,,
65,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A system identification procedure for multibody system dynamics (ID: 146),,,
66,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sparse Identification of Open-Loop Multibody System Dynamics (ID: 276),,,
67,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Cutting the knot: Critical features of Centrifugal Vibration Absorbers Modeling (ID: 165),,,
68,ECCOMAS Thematic Conference on Multibody Dynamics,2021,GENERIC-Based Integration of Constrained Dissipative Mechanical Systems (ID: 163),,,
69,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On Modeling Joint Friction Forces in the Constrained Hamiltonian Formulation (ID: 193),,,
70,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient earthquake simulation of stiff and high DOF Bridge Expansion Joint models with Python (ID: 196),,,
71,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Projection Continuation for Minimal Coordinate Set Dynamics of Constrained Systems (ID: 166),,,
72,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The GGL Variational Principle for Constrained Mechanical Systems (ID: 125),,,
73,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Combined Inverse Dynamics and Constraint Force Analysis of Parallel Kinematic Machines (ID: 137),,,
74,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kane?™s Equations for Nonholonomic Systems in Bond-Graph-Compatible Velocity and Momentum Forms (ID: 171),,,
75,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Cable-actuated soft finger modeling using an ALE approach (ID: 122),,,
76,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rotational Component and Translational Component in a Measured Velocity Data (ID: 141),,,
77,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An Efficient Algorithm for Solving Time Optimal Control Problems in Multibody Dynamics (ID: 118),,,
78,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Set of Generalized Coordinates and Their Influence on System Dynamics (ID: 112),,,
79,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Effects for Reduction of Computational Effort in Multibody Dynamic Models ??A Case Study (ID: 254),,,
80,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal Design of Multibody Systems Using Independent Adjoint Variables (ID: 160),,,
81,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Quaternion Spline Interpolation for Suspension Kinematics and Dynamics (ID: 212),,,
82,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Design Optimization of Quality Inspection Robots for Particle Accelerator Components (ID: 173),,,
83,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical port invertion for a flexible beam model in the Two-Input Two-Output Port approach (ID: 206),,,
84,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A compliant and redundantly actuated 2-DOF 3RRR PKM: Less is more (ID: 164),,,
85,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simulation of the Dynamics of the 3-CRS Parallel Robot with a Bond Graph Approach (ID: 192),,,
86,ECCOMAS Thematic Conference on Multibody Dynamics,2021,"Boudon, Benjamin; Malafosse, Pierre; Guigon, Louis; Margetts, Rebecca; Bouzgarrou, Chedli; Dang, Thu-Thuy; Bouton,",,,
87,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Motion Control of a Crane-like Manipulator Relying on the HTC Vive - Precision and Accuracy of the Pose Estimation (ID: 231),,,
88,ECCOMAS Thematic Conference on Multibody Dynamics,2021,State estimation of a hydraulically driven multibody system using the unscented Kalman filter (ID: 189),,,
89,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synthesis of Trajectory of Underactuated Multibody System (ID: 244),,,
90,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Extending the admissible control-loop delay for the inverted pendulum subject to PDA feedback by detuning the delays (ID: 230),,,
91,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Robust motion planning for underactuated multibody systems through a variational approach (ID: 168),,,
92,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Uni-frequency 6 DOF Active Dynamic Absorber for Spatial Mechanisms (ID: 210),,,
93,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synthesis of an Extended Kalman Filter for Cable-Driven Parallel Robots (ID: 199),,,
94,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Path tracking in cable suspended parallel robots through position-dependent Model Predictive Control with embedded integrator (ID: 201),,,
95,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Heuristic Sequencing Method for Time Optimal Tracking of Open and Closed Paths (ID: 138),,,
96,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Delayed control of an unstable chain of integrator: The relation between the system parameter and the admissible time delay (ID: 167),,,
97,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reinforcement Learning Assisted Robotic Contact Tasks (ID: 265),,,
98,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Motion Capture Based Model Identification of the Humanoid Robot REEM-C using Static Poses (ID: 233),,,
99,ECCOMAS Thematic Conference on Multibody Dynamics,2021,High-Speed Trajectory Tracking on Robotic Arm by Learning the Dynamic Response of the PID Controller with a Neural Network (ID: 227),,,
100,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Recursive Dynamics Algorithm for Soft Robotic Manipulators Made of Viscoelastic Material (ID: 257),,,
101,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Mathematical Model and Control Simulation of Hexapod Robot Locomotion in Tripod Gait (ID: 152),,,
102,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sensitivity analysis for thermohydrodynamic models: uncertainty analysis and parameter estimation (ID: 136),,,
103,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the Role of Adjoint Gradients in Time-Optimal Control Problems under Final Constraints (ID: 182),,,
104,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Discrete adjoint method for the sensitivity analysis of an augmented Lagrangian Index-3 formulation with projections (ID: 224),,,
105,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Input optimization for flexible multibody systems using the Adjoint Variable Method and the Flexible Natural Coordinate Formulation (ID: 268),,,
106,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Shape optimization in time variant system through multibody dynamics analysis (ID: 155),,,
107,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization of a three wheeled tilting vehicle. (ID: 249),,,
108,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Gradient-Based Computation of Time Optimal Bang-Bang Controls (ID: 220),,,
109,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Topology Optimization Procedure for Flexible Multibody Systems with Augmented Standard Input Data (ID: 154),,,
110,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the Dynamics and Optimal Control of Constrained Mechanical Systems (ID: 130),,,
111,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Nonlinear Optimal Control of Underactuated Mechanical Systems (ID: 250),,,
112,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Stability chart of a multiple spring-mass system subjected to delayed collocated control (ID: 178),,,
113,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reduced Order Interface Modelling for Haptic Simulation and Interfacing (ID: 263),,,
114,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rod-removal technique for flexible-rods in the framework of semi-recursive multibody formulation (ID: 128),,,
115,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Enabling Artificial Intelligence Studies in Off-Road Mobility Through Physics-Based Simulation of Multi-Agent Scenarios (ID: 162),,,
116,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Comparing Semi-recursive Multibody Formulations for Hydraulically Driven Mechanisms (ID: 177),,,
117,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assessment of Variable Step-Size Integration of Multibody Systems (ID: 172),,,
118,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A One-Dimensional Model for Developable Flexible Elastic Strips with Isogeometric Discretisation (ID: 226),,,
119,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Effective inelastic bending behavior of multi-wire cables using Finite Elements accounting for wire contact (ID: 144),,,
120,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Stability of coarse grid discretisations for dissipative systems: numerical experiments for a test problem (ID: 148),,,
121,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Dynamics of Axially Moving Beams with Transported Discrete Masses and Contact (ID: 151),,,
122,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A nonsmooth approach to frictionless beam-to-beam contact (ID: 145),,,
123,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Tensegrity Based Spatial Serial Robots (ID: 219),,,
124,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analysis of beam-to-beam contact using mortar method (ID: 143),,,
125,ECCOMAS Thematic Conference on Multibody Dynamics,2021,First steps in data based constitutive modelling of inelastic effects in composite cables using Preisach hysteresis operators (ID: 156),,,
126,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Nonlinear Cosserat rod statics using homogenized constitutive properties of multi-layered cross-sections (ID: 232),,,
127,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Velocity based elements in the analysis post-critical behaviour of spatial frames (ID: 204),,,
128,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling the rotary inertia of sheaves with the Arbitrary Lagrangian-Eulerian Modal approach (ID: 120),,,
129,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimized tensegrity structures for the usage in robotics (ID: 240),,,
130,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Realistic parameters for dynamic simulation of composite cables using a damped Cosserat rod model (ID: 207),,,
131,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the modelling of flexible slender structures guided through narrow space (ID: 174),,,
132,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling of spiral strands using 1D finite strain beam model: role of frictional contact interactions in the bending behavior (ID: 190),,,
133,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simplified mechanical model for balancing a motorbike with steering at zero speed (ID: 229),,,
134,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Handling Evaluation of Tractor-semitrailer with Split Fifth Wheel Coupling Undergoing an ISO Double Lane Change Manoeuvre (ID: 251),,,
135,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of steering laws to assist the driving of a of a 4-wheel steering vehicle (ID: 223),,,
136,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody Dynamic Approach to Risk Analysis of Autonomous Driving Test Scenario (ID: 255),,,
137,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling and Simulation of a High-speed Maglev Vehicle on an Infinite Elastic Guideway (ID: 161),,,
138,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analysis of the dynamic behavior of a counterbalance forklift truck through multibody modelling and simulation (ID:170),,,
139,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reversing a truck-full trailer combination in the presence of feedback delay (ID: 200),,,
140,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Dynamic Analysis for a 23-g Flapping Wing Micro Aerial Vehicle (ID: 185),,,
141,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical analysis of the linearization of the railway multibody equations of motion with moving reference frames (ID:127),,,
142,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Influence of the Friction Model on the Dynamics of Railway Freight Vehicles (ID: 271),,,
143,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multi-Stage MBS and FE Simulation Strategy to Design a Safe Motorcycle (ID: 202),,,
144,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization of flapping wing dynamics for Martian atmosphere via DMOC approach (ID: 275),,,
145,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Adaptive techniques for Kalman filter estimation based on multibody models (ID: 209),,,
146,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Survey of the Use of Multibody Simulations in the Development of Trolleybuses (ID: 187),,,
147,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Surface Error Correction of a Mesh Deployable Reflector (ID: 258),,,
148,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model Order Reduction for Elastic Multibody Systems with Fast Rotating Flexible Bodies (ID: 121),,,
