,Conference,Year,Title,Novelty,Domain,Note
18,IEEE International Conference on Robotics and Automation,2021,Robotic Indoor Scene Captioning from Streaming Video,,,
19,IEEE International Conference on Robotics and Automation,2021,Geometry-Aware Unsupervised Domain Adaptation for Stereo Matching,,,
20,IEEE International Conference on Robotics and Automation,2021,Reasoning Operational Decisions for Robots via Time Series Causal Inference,,,
21,IEEE International Conference on Robotics and Automation,2021,HueCode: A Meta-marker Exposing Relative Pose and Additional Information in Different Colored Layers,,,
22,IEEE International Conference on Robotics and Automation,2021,B-splines for Purely Vision-based Localization and Mapping on Non-holonomic Ground Vehicles,,,
23,IEEE International Conference on Robotics and Automation,2021,Robust SRIF-based LiDAR-IMU Localization for Autonomous Vehicles,,,
24,IEEE International Conference on Robotics and Automation,2021,Structure Reconstruction Using Ray-Point-Ray Features: Representation and Camera Pose Estimation,,,
25,IEEE International Conference on Robotics and Automation,2021,Reducing the Deployment-Time Inference Control Costs of Deep Reinforcement Learning Agents via an Asymmetric Architecture,,,
26,IEEE International Conference on Robotics and Automation,2021,Sample Efficient Reinforcement Learning via Model-Ensemble Exploration and Exploitation,,,
27,IEEE International Conference on Robotics and Automation,2021,Dreaming: Model-based Reinforcement Learning by Latent Imagination without Reconstruction,,,
28,IEEE International Conference on Robotics and Automation,2021,A Variational Infinite Mixture for Probabilistic Inverse Dynamics Learning,,,
29,IEEE International Conference on Robotics and Automation,2021,Model-based Domain Randomization of Dynamics System with Deep Bayesian Locally Linear Embedding,,,
30,IEEE International Conference on Robotics and Automation,2021,Deep Imitation Learning for Autonomous Navigation in Dynamic Pedestrian Environments,,,
31,IEEE International Conference on Robotics and Automation,2021,Learning from Demonstration without Demonstrations,,,
32,IEEE International Conference on Robotics and Automation,2021,Reachability-based Push Recovery for Humanoid Robots with Variable-Height Inverted Pendulum,,,
33,IEEE International Conference on Robotics and Automation,2021,Meaningful Centroidal Frame Orientation of Multi-body Floating Locomotion Systems,,,
34,IEEE International Conference on Robotics and Automation,2021,Soft-Jig-Driven Assembly Operations,,,
35,IEEE International Conference on Robotics and Automation,2021,Prediction-Error Negativity to Assess Singularity Avoidance Strategies in Physical Human-Robot Collaboration,,,
36,IEEE International Conference on Robotics and Automation,2021,A Large Area Robotic Skin with Sparsely Embedded Microphones for Human-Robot Tactile Communication,,,
37,IEEE International Conference on Robotics and Automation,2021,Star Topology based Interaction for Robust Trajectory Forecasting in Dynamic Scene,,,
38,IEEE International Conference on Robotics and Automation,2021,A Peg-in-hole Task Strategy for Holes in Concrete,,,
39,IEEE International Conference on Robotics and Automation,2021,TaskNet: A Neural Task Planner for Autonomous Excavator,,,
40,IEEE International Conference on Robotics and Automation,2021,Steering Induced Roll Quantification During Ship Turning Circle Manoeuvre,,,
41,IEEE International Conference on Robotics and Automation,2021,Uncertainty-aware Self-supervised Target-mass Grasping of Granular Foods,,,
42,IEEE International Conference on Robotics and Automation,2021,SCT-CNN: A Spatio-Channel-Temporal Attention CNN for Grasp Stability Prediction,,,
43,IEEE International Conference on Robotics and Automation,2021,Spherical Magnetic Joint for Inverted Locomotion of Multi-Legged Robot,,,
44,IEEE International Conference on Robotics and Automation,2021,An Open-Source Mechanical Design of ALARIS Hand: A 6-DOF Anthropomorphic Robotic Hand,,,
45,IEEE International Conference on Robotics and Automation,2021,Biomimetic Operational Space Control for Musculoskeletal Humanoid Optimizing Across Muscle Activation and Joint Nullspace,,,
46,IEEE International Conference on Robotics and Automation,2021,Parallel Actuation of Nanorod Swarm and Nanoparticle Swarm to Different Targets,,,
47,IEEE International Conference on Robotics and Automation,2021,Robotic Micromanipulation for Active Pin Alignment in Electronic Soldering Industry,,,
48,IEEE International Conference on Robotics and Automation,2021,Observation Space Matters: Benchmark and Optimization Algorithm,,,
49,IEEE International Conference on Robotics and Automation,2021,Interleaving Fast and Slow Decision Making,,,
50,IEEE International Conference on Robotics and Automation,2021,Multi-output Infinite Horizon Gaussian Processes,,,
51,IEEE International Conference on Robotics and Automation,2021,Estimation and Adaption of Indoor Ego Airflow Disturbance with Application to Quadrotor Trajectory Planning,,,
52,IEEE International Conference on Robotics and Automation,2021,Real-time active detection of targets and path planning using UAVs,,,
53,IEEE International Conference on Robotics and Automation,2021,EVA-Planner: Environmental Adaptive Quadrotor Planning,,,
54,IEEE International Conference on Robotics and Automation,2021,Differential Information Aided 3-D Registration for Accurate Navigation and Scene Reconstruction,,,
55,IEEE International Conference on Robotics and Automation,2021,Autonomous Navigation in Dynamic Environments with Multi-Modal Perception Uncertainties,,,
56,IEEE International Conference on Robotics and Automation,2021,Learning World Transition Model for Socially Aware Robot Navigation,,,
57,IEEE International Conference on Robotics and Automation,2021,Probabilistic Dynamic Crowd Prediction for Social Navigation,,,
58,IEEE International Conference on Robotics and Automation,2021,Consensus-Based Control Barrier Function for Swarm,,,
59,IEEE International Conference on Robotics and Automation,2021,Bayesian Disturbance Injection: Robust Imitation Learning of Flexible Policies,,,
60,IEEE International Conference on Robotics and Automation,2021,Active Modular Environment for Robot Navigation,,,
61,IEEE International Conference on Robotics and Automation,2021,Deep reinforcement learning of event-triggered communication and control for multi-agent cooperative transport,,,
62,IEEE International Conference on Robotics and Automation,2021,Multi-Robot Task Allocation Games in Dynamically Changing Environments,,,
63,IEEE International Conference on Robotics and Automation,2021,An Upper Confidence Bound for Simultaneous Exploration and Exploitation in Heterogeneous Multi-Robot Systems,,,
64,IEEE International Conference on Robotics and Automation,2021,Priority Patrolling using Multiple Agents,,,
65,IEEE International Conference on Robotics and Automation,2021,Anticipatory Navigation in Crowds by Probabilistic Prediction of Pedestrian Future Movements,,,
66,IEEE International Conference on Robotics and Automation,2021,Real-Time Human Lower Limbs Motion Estimation and Feedback for Potential Applications in Robotic Gait Aid and Training,,,
67,IEEE International Conference on Robotics and Automation,2021,Cost-to-Go Function Generating Networks for High Dimensional Motion Planning,,,
68,IEEE International Conference on Robotics and Automation,2021,Smooth-RRT: Asymptotically Optimal Motion Planning for Mobile Robots under Kinodynamic Constraints,,,
69,IEEE International Conference on Robotics and Automation,2021,Continuous Optimization-Based Task and Motion Planning with Signal Temporal Logic Specifications for Sequential Manipulation,,,
70,IEEE International Conference on Robotics and Automation,2021,Proximal Policy Optimization with Relative Pearson Divergence,,,
71,IEEE International Conference on Robotics and Automation,2021,Optimal Object Placement for Minimum Discontinuity Non-revisiting Coverage Task,,,
72,IEEE International Conference on Robotics and Automation,2021,Search-Based Online Trajectory Planning for Car-like Robots in Highly Dynamic Environments,,,
73,IEEE International Conference on Robotics and Automation,2021,Task-Space Decomposed Motion Planning Framework for Multi-Robot Loco-Manipulation,,,
74,IEEE International Conference on Robotics and Automation,2021,SMT-Based Optimal Deployment of Mobile Rechargers,,,
75,IEEE International Conference on Robotics and Automation,2021,Fast Replanning Multi-Heuristic A,,,
76,IEEE International Conference on Robotics and Automation,2021,Generating Large-Scale Trajectories Efficiently using Double Descriptions of Polynomials,,,
77,IEEE International Conference on Robotics and Automation,2021,Restoring Force Design of Active Self-healing Tension Transmission System and Application to Tendon-driven Legged Robot,,,
78,IEEE International Conference on Robotics and Automation,2021,A Translational Parallel Continuum Robot Reinforced by Origami and Cross-Routing Tendons,,,
79,IEEE International Conference on Robotics and Automation,2021,Design of a 3-DOF Coupled Tendon-Driven Waist Joint,,,
80,IEEE International Conference on Robotics and Automation,2021,Design and Modeling of a Variable-Stiffness Spring Mechanism for Impedance Modulation in Physical Human?“Robot Interaction,,,
81,IEEE International Conference on Robotics and Automation,2021,Mecanum Crank: A Novel Omni-Directional Vehicle Using Crank Leg,,,
82,IEEE International Conference on Robotics and Automation,2021,Position and Orientation Control of Polygonal Objects by Sensorless In-hand Caging Manipulation,,,
83,IEEE International Conference on Robotics and Automation,2021,3D biped locomotion control including seamless transition between walking and running via 3D ZMP manipulation,,,
84,IEEE International Conference on Robotics and Automation,2021,GCC-PHAT with Speech-oriented Attention for Robotic Sound Source Localization,,,
85,IEEE International Conference on Robotics and Automation,2021,Towards Robust GNSS Positioning and Real-time Kinematic Using Factor Graph Optimization,,,
86,IEEE International Conference on Robotics and Automation,2021,Camera Relocalization using Deep Point Cloud Generation and Hand-crafted Feature Refinement,,,
87,IEEE International Conference on Robotics and Automation,2021,Accelerating Probabilistic Volumetric Mapping using Ray-Tracing Graphics Hardware,,,
88,IEEE International Conference on Robotics and Automation,2021,UVIP: Robust UWB aided Visual-Inertial Positioning System for Complex Indoor Environments,,,
89,IEEE International Conference on Robotics and Automation,2021,LiDAR-Based Initial Global Localization Using Two-Dimensional (2D) Submap Projection Image (SPI),,,
90,IEEE International Conference on Robotics and Automation,2021,Automatic Hyper-Parameter Tuning for Black-box LiDAR Odometry,,,
91,IEEE International Conference on Robotics and Automation,2021,Locus: LiDAR-based Place Recognition using Spatiotemporal Higher-Order Pooling,,,
92,IEEE International Conference on Robotics and Automation,2021,Automated Extrinsic Calibration for 3D LiDARs with Range Offset Correction using an Arbitrary Planar Board,,,
93,IEEE International Conference on Robotics and Automation,2021,Machine Learning-based Human-Following System: Following the Predicted Position of a Walking Human,,,
94,IEEE International Conference on Robotics and Automation,2021,Anytime Game-Theoretic Planning with Active Reasoning About Humans??Latent States for Human-Centered Robots,,,
95,IEEE International Conference on Robotics and Automation,2021,Momentum Observer-Based Collision Detection Using LSTM for Model Uncertainty Learning,,,
96,IEEE International Conference on Robotics and Automation,2021,Deep Learning and Mixed Reality to Autocomplete Teleoperation,,,
97,IEEE International Conference on Robotics and Automation,2021,Learning Spatial Context with Graph Neural Network for Multi-Person Pose Grouping,,,
98,IEEE International Conference on Robotics and Automation,2021,Automatic Hanging Point Learning from Random Shape Generation and Physical Function Validation,,,
99,IEEE International Conference on Robotics and Automation,2021,Graph Convolutional Network based Configuration Detection for Freeform Modular Robot Using Magnetic Sensor Array,,,
100,IEEE International Conference on Robotics and Automation,2021,An analytical diabolo model for robotic learning and control,,,
101,IEEE International Conference on Robotics and Automation,2021,Peer-Assisted Robotic Learning: A Data-Driven Collaborative Learning Approach for Cloud Robotic Systems,,,
102,IEEE International Conference on Robotics and Automation,2021,Lywal: a Leg-Wheel Transformable Quadruped Robot with Picking up and Transport Functions,,,
103,IEEE International Conference on Robotics and Automation,2021,Stair Climbing Capability-Based Dimensional Synthesis for the Multi-legged Robot,,,
104,IEEE International Conference on Robotics and Automation,2021,"Versatile Locomotion by Integrating Ankle, Hip, Stepping, and Height Variation Strategies",,,
105,IEEE International Conference on Robotics and Automation,2021,A Self-Training Approach-Based Traversability Analysis for Mobile Robots in Urban Environments,,,
106,IEEE International Conference on Robotics and Automation,2021,Proactive Interaction Framework for Intelligent Social Receptionist Robots,,,
107,IEEE International Conference on Robotics and Automation,2021,Estimation of Spatially-Correlated Ocean Currents from Ensemble Forecasts and Online Measurements,,,
108,IEEE International Conference on Robotics and Automation,2021,Circus ANYmal: A Quadruped Learning Dexterous Manipulation with Its Limbs,,,
109,IEEE International Conference on Robotics and Automation,2021,Long-Range Hand Gesture Recognition via Attention-based SSD Network,,,
110,IEEE International Conference on Robotics and Automation,2021,Spectral Temporal Graph Neural Network for Trajectory Prediction,,,
111,IEEE International Conference on Robotics and Automation,2021,Dark Reciprocal-Rank: Teacher-to-student Knowledge Transfer from Self-localization Model to Graph-convolutional Neural Network,,,
112,IEEE International Conference on Robotics and Automation,2021,Efficient SE(3) Reachability Map Generation via Interplanar Integration of Intra-planar Convolutions,,,
113,IEEE International Conference on Robotics and Automation,2021,Orientation Control of an Electromagnetically Actuated Soft-Tethered Colonoscope Based on 2OR Pseudo-Rigid-Body Model,,,
114,IEEE International Conference on Robotics and Automation,2021,An Integrated High-dexterity Cooperative Robotic Assistant for Intraocular Micromanipulation,,,
115,IEEE International Conference on Robotics and Automation,2021,Design of Soft Sensor for Feedback Control of Bio-actuator Powered by Skeletal Muscle,,,
116,IEEE International Conference on Robotics and Automation,2021,A portable acoustofluidic device for multifunctional cell manipulation and reconstruction,,,
117,IEEE International Conference on Robotics and Automation,2021,Design and soft-landing control of a six-legged mobile repetitive lander for lunar exploration,,,
118,IEEE International Conference on Robotics and Automation,2021,LEAF: Latent Exploration Along the Frontier,,,
119,IEEE International Conference on Robotics and Automation,2021,LAFFNet: A Lightweight Adaptive Feature Fusion Network for Underwater Image Enhancement,,,
120,IEEE International Conference on Robotics and Automation,2021,Ultrasound Doppler Imaging and Navigation of Collective Magnetic Cell Microrobots in Blood,,,
121,IEEE International Conference on Robotics and Automation,2021,"Fixed-root Aerial Manipulator: Design, Modeling, and Control of Multilink Aerial Arm to Adhere Foot Module to Ceilings using Rotor Thrust",,,
122,IEEE International Conference on Robotics and Automation,2021,Autonomous Decentralized Shape-Based Navigation for Snake Robots in Dense Environments,,,
123,IEEE International Conference on Robotics and Automation,2021,Real-time Optimal Navigation Planning Using Learned Motion Costs,,,
124,IEEE International Conference on Robotics and Automation,2021,Autonomous Navigation for Adaptive Unmanned Underwater Vehicles Using Fiducial Markers,,,
125,IEEE International Conference on Robotics and Automation,2021,Command Filtered Tracking Control for High-order Systems with Limited Transmission Bandwidth,,,
126,IEEE International Conference on Robotics and Automation,2021,Multi-Scale Cost Volumes Cascade Network for Stereo Matching,,,
127,IEEE International Conference on Robotics and Automation,2021,Hierarchical MCTS for Scalable Multi-Vessel Multi-Float Systems,,,
128,IEEE International Conference on Robotics and Automation,2021,Distributed Heuristic Multi-Agent Path Finding with Communication,,,
129,IEEE International Conference on Robotics and Automation,2021,A Geometric Folding Pattern for Robot Coverage Path Planning,,,
130,IEEE International Conference on Robotics and Automation,2021,Tree Search-based Task and Motion Planning with Prehensile and Non-prehensile Manipulation for Obstacle Rearrangement in Clutter,,,
131,IEEE International Conference on Robotics and Automation,2021,Active Information Acquisition under Arbitrary Unknown Disturbances,,,
132,IEEE International Conference on Robotics and Automation,2021,Real-time Obstacle Avoidance with a Virtual Torque Approach for a Robotic Tool in the End Effector,,,
133,IEEE International Conference on Robotics and Automation,2021,Approximating Constraint Manifolds Using Generative Models for Sampling-Based Constrained Motion Planning,,,
134,IEEE International Conference on Robotics and Automation,2021,Maintaining a Reliable World Model using Action-aware Perceptual Anchoring,,,
135,IEEE International Conference on Robotics and Automation,2021,Dynamic Window Approach with Human Imitating Collision Avoidance,,,
136,IEEE International Conference on Robotics and Automation,2021,Dynamic Movement Primitive based Motion Retargeting for Dual-Arm Sign Language Motions,,,
137,IEEE International Conference on Robotics and Automation,2021,SA-LOAM: Semantic-aided LiDAR SLAM with Loop Closure,,,
138,IEEE International Conference on Robotics and Automation,2021,An On-Line POMDP Solver for Continuous Observation Spaces,,,
139,IEEE International Conference on Robotics and Automation,2021,Modeling and Simulation of Running Expansion with Trunk and Pelvic Rotation Assist Suit,,,
140,IEEE International Conference on Robotics and Automation,2021,Pneumatic actuation-based bidirectional modules with variable stiffness and closed-loop position control,,,
141,IEEE International Conference on Robotics and Automation,2021,A Capturability-based Control Framework for the Underactuated Bipedal Walking,,,
142,IEEE International Conference on Robotics and Automation,2021,Appearance-based Loop Closure Detection via Bidirectional Manifold Representation Consensus,,,
143,IEEE International Conference on Robotics and Automation,2021,Synergetic Effect between Limbs and Spine Dynamics in Quadruped Walking Robots,,,
144,IEEE International Conference on Robotics and Automation,2021,"A Locally-Adaptive, Parallel-Jaw Gripper with Clamping and Rolling Capable, Soft Fingertips for Fine Manipulation of Flexible Flat Cables",,,
145,IEEE International Conference on Robotics and Automation,2021,"Stable, Sensor-less and Compliance-less Module Connection for Automated Construction System of a Modularized Rail Structure",,,
146,IEEE International Conference on Robotics and Automation,2021,Numerical Simulations of A Novel Force Controller Serially Combining The Admittance and Impedance Controllers,,,
147,IEEE International Conference on Robotics and Automation,2021,Kinematic Stability based AFG-RRT Path Planning for Cable-Driven Parallel Robots,,,
148,IEEE International Conference on Robotics and Automation,2021,Simultaneous Precision Assembly of Multiple Objects through Coordinated Micro-robot Manipulation,,,
149,IEEE International Conference on Robotics and Automation,2021,Dynamic Compensation in Throwing Motion with High-Speed Robot Hand-Arm,,,
150,IEEE International Conference on Robotics and Automation,2021,Signal Temporal Logic Synthesis as Probabilistic Inference,,,
151,IEEE International Conference on Robotics and Automation,2021,Bias Compensated UWB Anchor Initialization using Information-Theoretic Supported Triangulation Points,,,
152,IEEE International Conference on Robotics and Automation,2021,Multiresolution Representations for Large-Scale Terrain with Local Gaussian Process Regression,,,
153,IEEE International Conference on Robotics and Automation,2021,MSTSL: Multi-Sensor Based Two-Step Localization in Geometrically Symmetric Environments,,,
154,IEEE International Conference on Robotics and Automation,2021,Interactive Planning for Autonomous Urban Driving in Adversarial Scenarios,,,
155,IEEE International Conference on Robotics and Automation,2021,Kernel-Based 3-D Dynamic Occupancy Mapping with Particle Tracking,,,
156,IEEE International Conference on Robotics and Automation,2021,AdaGrasp: Learning an Adaptive Gripper-Aware Grasping Policy,,,
157,IEEE International Conference on Robotics and Automation,2021,TRANS-AM: Transfer Learning by Aggregating Dynamics Models for Soft Robotic Assembly,,,
158,IEEE International Conference on Robotics and Automation,2021,Embedding Symbolic Temporal Knowledge into Deep Sequential Models,,,
159,IEEE International Conference on Robotics and Automation,2021,Multi-Modal Mutual Information (MuMMI) Training for Robust Self-Supervised Deep Reinforcement Learning,,,
160,IEEE International Conference on Robotics and Automation,2021,Linguistic Descriptions of Human Motion with Generative Adversarial Seq2Seq Learning,,,
161,IEEE International Conference on Robotics and Automation,2021,Evolvable Motion-planning Method using Deep Reinforcement Learning,,,
162,IEEE International Conference on Robotics and Automation,2021,Learning Sequences of Manipulation Primitives for Robotic Assembly,,,
163,IEEE International Conference on Robotics and Automation,2021,EGO-Swarm: A Fully Autonomous and Decentralized Quadrotor Swarm System in Cluttered Environments,,,
164,IEEE International Conference on Robotics and Automation,2021,Robust Landing Stabilization of Humanoid Robot on Uneven Terrain via Admittance Control and Heel Strike Motion,,,
165,IEEE International Conference on Robotics and Automation,2021,State Estimation for Hybrid Wheeled-Legged Robots Performing Mobile Manipulation Tasks,,,
166,IEEE International Conference on Robotics and Automation,2021,Adversarial Skill Learning for Robust Manipulation,,,
167,IEEE International Conference on Robotics and Automation,2021,Learning Visual Affordances with Target-Orientated Deep Q-Network to Grasp Objects by Harnessing Environmental Fixtures,,,
168,IEEE International Conference on Robotics and Automation,2021,Enhancing Robot Perception in Grasping and Dexterous Manipulation through Crowdsourcing and Gamification,,,
169,IEEE International Conference on Robotics and Automation,2021,Teaching Robotic and Biomechatronic Concepts with a Gripper Design Project and a Grasping and Manipulation Competition,,,
170,IEEE International Conference on Robotics and Automation,2021,Model based evaluation of human and lower-limb exoskeleton interaction during sit to stand motion,,,
171,IEEE International Conference on Robotics and Automation,2021,Efficient solution method based on inverse dynamics for optimal control problems of rigid body systems,,,
172,IEEE International Conference on Robotics and Automation,2021,Reduction of Ground Impact of a Powered Exoskeleton by Shock Absorption Mechanism on the Shank,,,
173,IEEE International Conference on Robotics and Automation,2021,FlowDriveNet: An End-to-End Network for Learning Driving Policies from Image Optical Flow and LiDAR Point Flow,,,
174,IEEE International Conference on Robotics and Automation,2021,PocoNet: SLAM-oriented 3D LiDAR Point Cloud Online Compression Network,,,
175,IEEE International Conference on Robotics and Automation,2021,3D Reconstruction of Deformable Colon Structures based on Preoperative Model and Deep Neural Network,,,
176,IEEE International Conference on Robotics and Automation,2021,An Encoder-Free Joint Velocity Estimation Method for Serial Manipulators Using Inertial Sensors,,,
177,IEEE International Conference on Robotics and Automation,2021,D-ACC: Dynamic Adaptive Cruise Control for Highways with Ramps Based on Deep Q-Learning,,,
178,IEEE International Conference on Robotics and Automation,2021,Precise Multi-Modal In-Hand Pose Estimation using Low-Precision Sensors for Robotic Assembly,,,
179,IEEE International Conference on Robotics and Automation,2021,Assembly Sequences Based on Multiple Criteria Against Products with Deformable Parts,,,
180,IEEE International Conference on Robotics and Automation,2021,Distributed Dynamic Map Fusion via Federated Learning for Intelligent Networked Vehicles,,,
181,IEEE International Conference on Robotics and Automation,2021,Underwater Stability of a Morphable Aerial-Aquatic Quadrotor With Variable Thruster Angles,,,
182,IEEE International Conference on Robotics and Automation,2021,Development of Flapping Robot with Self-Takeoff from The Ground Capability,,,
183,IEEE International Conference on Robotics and Automation,2021,Fast-Tracker: A Robust Aerial System for Tracking Agile Target in Cluttered Environments,,,
184,IEEE International Conference on Robotics and Automation,2021,NavRep: Unsupervised Representations for Reinforcement Learning of Robot Navigation in Dynamic Human Environments,,,
185,IEEE International Conference on Robotics and Automation,2021,High-Speed Planning in Unknown Environments for Multirotors Considering Drag,,,
186,IEEE International Conference on Robotics and Automation,2021,Visual Servoing of Cable-Driven Parallel Robots with Tension Management,,,
187,IEEE International Conference on Robotics and Automation,2021,Automated design of underactuated monolithic soft robotics structures with multiple predefined end poses,,,
188,IEEE International Conference on Robotics and Automation,2021,Vision Based Adaptation to Kernelized Synergies for Human Inspired Robotic Manipulation,,,
189,IEEE International Conference on Robotics and Automation,2021,Vision-Based Robotic Pushing and Grasping for Stone Sample Collection under Computing Resource Constraints,,,
190,IEEE International Conference on Robotics and Automation,2021,Friction Estimation for Tendon-Driven Robotic Hands,,,
191,IEEE International Conference on Robotics and Automation,2021,Representation Matters: Improving Perception and Exploration for Robotics,,,
192,IEEE International Conference on Robotics and Automation,2021,Global Aerial Localisation Using Image and Map Embeddings,,,
193,IEEE International Conference on Robotics and Automation,2021,UWB Indoor Global Localisation for Nonholonomic Robots with Unknown Offset Compensation,,,
194,IEEE International Conference on Robotics and Automation,2021,Range Image-based LiDAR Localization for Autonomous Vehicles,,,
195,IEEE International Conference on Robotics and Automation,2021,RadarLoc: Learning to Relocalize in FMCW Radar,,,
196,IEEE International Conference on Robotics and Automation,2021,MonStereo: When Monocular and Stereo Meet at the Tail of 3D Human Localization,,,
197,IEEE International Conference on Robotics and Automation,2021,Enabling spatio-temporal aggregation in Birds-Eye-View Vehicle Estimation,,,
198,IEEE International Conference on Robotics and Automation,2021,Multimodal Scale Consistency and Awareness for Monocular Self-Supervised Depth Estimation,,,
199,IEEE International Conference on Robotics and Automation,2021,There and Back Again: Self-supervised Multispectral Correspondence Estimation,,,
200,IEEE International Conference on Robotics and Automation,2021,Learning Conditional Postural Synergies for Dexterous Hands: A Generative Approach Based on Variational Auto-Encoders and Conditioned on Object Size and Category,,,
201,IEEE International Conference on Robotics and Automation,2021,ReForm: A Robot Learning Sandbox for Deformable Linear Object Manipulation,,,
202,IEEE International Conference on Robotics and Automation,2021,Adversarial Imitation Learning with Trajectorial Augmentation and Correction,,,
203,IEEE International Conference on Robotics and Automation,2021,Learning Reachable Manifold and Inverse Mapping for a Redundant Robot manipulator,,,
204,IEEE International Conference on Robotics and Automation,2021,Leveraging Forward Model Prediction Error for Learning Control,,,
205,IEEE International Conference on Robotics and Automation,2021,GoSafe: Globally Optimal Safe Robot Learning,,,
206,IEEE International Conference on Robotics and Automation,2021,Distilling a Hierarchical Policy for Planning and Control via Representation and Reinforcement Learning,,,
207,IEEE International Conference on Robotics and Automation,2021,Active Model Learning using Informative Trajectories for Improved Closed-Loop Control on Real Robots,,,
208,IEEE International Conference on Robotics and Automation,2021,Differentiable Physics Models for Real-world Offline Model-based Reinforcement Learning,,,
209,IEEE International Conference on Robotics and Automation,2021,Adversarial Training is Not Ready for Robot Learning,,,
210,IEEE International Conference on Robotics and Automation,2021,Deep Learning on 3D Object Detection for Automatic Plug-in Charging Using a Mobile Manipulator,,,
211,IEEE International Conference on Robotics and Automation,2021,Rate Mode Bilateral Teleoperation Based on Passivity Tanks and Variable Admittance Control,,,
212,IEEE International Conference on Robotics and Automation,2021,Task Autocorrection for Immersive Teleoperation,,,
213,IEEE International Conference on Robotics and Automation,2021,Manipulability optimization for multi-arm teleoperation,,,
214,IEEE International Conference on Robotics and Automation,2021,Human-robot collaborative object transfer using human motion prediction based on Cartesian pose Dynamic Movement Primitives,,,
215,IEEE International Conference on Robotics and Automation,2021,Dynamic Projection of Human Motion for Safe and Efficient Human-Robot Collaboration,,,
216,IEEE International Conference on Robotics and Automation,2021,Achieving Hard Real-Time Capability for 3D Human Pose Estimation Systems,,,
217,IEEE International Conference on Robotics and Automation,2021,Augmented Hierarchical Quadratic Programming for Adaptive Compliance Robot Control,,,
218,IEEE International Conference on Robotics and Automation,2021,An Optimization Approach for a Robust and Flexible Control in Collaborative Applications,,,
219,IEEE International Conference on Robotics and Automation,2021,Predicting the Post-Impact Velocity of a Robotic Arm via Rigid Multibody Models: an Experimental Study,,,
220,IEEE International Conference on Robotics and Automation,2021,Conv1D Energy-Aware Path Planner for Mobile Robots in Unstructured Environments,,,
221,IEEE International Conference on Robotics and Automation,2021,Resilient Collision-tolerant Navigation in Confined Environments,,,
222,IEEE International Conference on Robotics and Automation,2021,Experimental Validation of Unsteady Wave Induced Loads on a Stationary Remotely Operated Vehicle,,,
223,IEEE International Conference on Robotics and Automation,2021,ASVLite: a high-performance simulator for autonomous surface vehicles,,,
224,IEEE International Conference on Robotics and Automation,2021,Continuous Shortest Path Vector Field Navigation on 3D Triangular Meshes for Mobile Robots,,,
225,IEEE International Conference on Robotics and Automation,2021,Learning to Propagate Interaction Effects for Modeling Deformable Linear Objects Dynamics,,,
226,IEEE International Conference on Robotics and Automation,2021,Modal Dynamic Modelling and Experimental Validation of a Curved Extensible Continuum Manipulator,,,
227,IEEE International Conference on Robotics and Automation,2021,Online Informative Path Planning for Active Information Gathering of a 3D Surface,,,
228,IEEE International Conference on Robotics and Automation,2021,Mathematical Modeling of a Highly Underactuated Tool for Draping Fiber Plies on Double Curved Molds,,,
229,IEEE International Conference on Robotics and Automation,2021,On-line force capability evaluation based on efficient polytope vertex search,,,
