Index,Conference,Year,Title,Novelty,Domain,Note
36,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the simulation of freewheels using the methods of non-smooth dynamics (ID: 217),,Modeling,
37,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Manufacturing tolerance optimization of circuit breaker mechanism using Multibody Dynamic simulation (ID: 259),,Optimization,
38,ECCOMAS Thematic Conference on Multibody Dynamics,2021,3D LuGre model for multibody systems involving contacts with stick-slip (ID: 175),,Modeling,
39,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An impact model of three-dimensional rigid rocking blocks (ID: 150),,Modeling,
40,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synchronous Contact/Impact Events Modelling With A Smooth-Based Approach (ID: 114),,Modeling,
41,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Demystifying the Mechanical and Numerical Concepts Underlying Multibody System Dynamics: Development of an International MOOC (ID: 194),,Dynamics,
42,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Validation of MBD-CFD Co-Simulation for Corrugating Machine (ID: 115),,Modeling,
43,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of a Cyber-Physical Test Bench for E-Powertrain Components (ID: 119),,Dynamics,
44,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An improved absolute coordinate formulation (ACF) for flexible multibody dynamics (ID: 134),,Formulation,
45,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Computation of internal forces in beam elements with constraint torsional warping (ID: 218),,Formulation,
46,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modelling of dielectric elastomer actuated flexible multibody dynamics (ID: 135),,Modeling,
47,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sloshing Dynamics Estimation for Liquid-filled Containers under 2-Dimensional Excitation (ID: 274),,Measurements,
48,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Eigenfrequency assignment to flexible-link multibody systems using Taylor expansion of a parametric modal model (ID:236),,Modeling,
49,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Satisfying floating frame constraints in an absolute interface coordinates floating frame formulation (ID: 197),,Formulation,
50,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Dynamics and Sensitivity Analysis in the Design of a Morphing Leading Edge for High-Performance Sailplanes (ID: 203),,Numerical analysis,
51,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simultaneous Space-Time Discretization for Controlling the Motion of Rigid Bodies Actuated Through Elastic Ropes (ID: 153),,Control,
52,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multipoint Constraints for Interface Reduction in Flexible Multibody Systems (ID: 205),,Formulation,
53,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Influence of the Flexibility of the Railway Locomotive Bogies Components on its Dynamics (ID: 273),,Dynamics,
54,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Impact Simulations of Hierarchically Refined Isogeometric Models (ID: 131),,Modeling,
55,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A toolkit of componets to design a soft gripper (ID: 186),,Dynamics,
56,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Adjoint optimisation of worm-like body locomotion (ID: 248),,Optimization,
57,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Topology Optimization for Eigenfrequencies of a Flexible Multibody System (ID: 184),,Optimization,
58,ECCOMAS Thematic Conference on Multibody Dynamics,2021,DYNAMIC ANALYSIS OF AN INTERNAL TURNING TOOL WITH ELASTIC FOUNDATION (WINKLER MODEL) (ID: 222),,Modeling,
59,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-linear beam formulation with NURBS interpolation for the simulation of sliding contacts (ID: 181),,Modeling,
60,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Coupled multibody model of industrial robot with milling simulator for trajectory compensation (ID: 139),,Modeling,
61,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Tensorial deformation measures for the floating frame of reference formulation (ID: 159),,Formulation,
62,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Direct Sensitivity Analysis of Spatial Multibody Systems with Friction using Penalty Formulation (ID: 260),,Numerical analysis,
63,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An iterative procedure for dynamic integrity assessment (ID: 179),,Dynamics,
64,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Hamiltonian-based Optimal Control of Multibody Systems in the Presence of Artificial Discontinuities (ID: 198),,Optimization,
65,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A system identification procedure for multibody system dynamics (ID: 146),,System identification,
66,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sparse Identification of Open-Loop Multibody System Dynamics (ID: 276),,System identification,
67,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Cutting the knot: Critical features of Centrifugal Vibration Absorbers Modeling (ID: 165),,Modeling,
68,ECCOMAS Thematic Conference on Multibody Dynamics,2021,GENERIC-Based Integration of Constrained Dissipative Mechanical Systems (ID: 163),,Dynamics,
69,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On Modeling Joint Friction Forces in the Constrained Hamiltonian Formulation (ID: 193),,Modeling,
70,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient earthquake simulation of stiff and high DOF Bridge Expansion Joint models with Python (ID: 196),,Modeling,
71,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Projection Continuation for Minimal Coordinate Set Dynamics of Constrained Systems (ID: 166),,Dynamics,
72,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The GGL Variational Principle for Constrained Mechanical Systems (ID: 125),,Dynamics,
73,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Combined Inverse Dynamics and Constraint Force Analysis of Parallel Kinematic Machines (ID: 137),,Numerical analysis,
74,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kane?셲 Equations for Nonholonomic Systems in Bond-Graph-Compatible Velocity and Momentum Forms (ID: 171),,Dynamics,
75,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Cable-actuated soft finger modeling using an ALE approach (ID: 122),,Modeling,
76,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rotational Component and Translational Component in a Measured Velocity Data (ID: 141),,Measurements,
77,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An Efficient Algorithm for Solving Time Optimal Control Problems in Multibody Dynamics (ID: 118),,Optimization,
78,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Set of Generalized Coordinates and Their Influence on System Dynamics (ID: 112),,Dynamics,
79,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Effects for Reduction of Computational Effort in Multibody Dynamic Models ??A Case Study (ID: 254),,Modeling,
80,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal Design of Multibody Systems Using Independent Adjoint Variables (ID: 160),,Optimization,
81,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Quaternion Spline Interpolation for Suspension Kinematics and Dynamics (ID: 212),,Dynamics,
82,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Design Optimization of Quality Inspection Robots for Particle Accelerator Components (ID: 173),,Optimization,
83,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical port invertion for a flexible beam model in the Two-Input Two-Output Port approach (ID: 206),,Modeling,
84,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A compliant and redundantly actuated 2-DOF 3RRR PKM: Less is more (ID: 164),,Dynamics,
85,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simulation of the Dynamics of the 3-CRS Parallel Robot with a Bond Graph Approach (ID: 192),,Modeling,
86,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Motion Control of a Crane-like Manipulator Relying on the HTC Vive - Precision and Accuracy of the Pose Estimation (ID: 231),,Control,
87,ECCOMAS Thematic Conference on Multibody Dynamics,2021,State estimation of a hydraulically driven multibody system using the unscented Kalman filter (ID: 189),,Measurements,
88,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synthesis of Trajectory of Underactuated Multibody System (ID: 244),,Dynamics,
89,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Extending the admissible control-loop delay for the inverted pendulum subject to PDA feedback by detuning the delays (ID: 230),,Control,
90,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Robust motion planning for underactuated multibody systems through a variational approach (ID: 168),,Robotics,
91,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Uni-frequency 6 DOF Active Dynamic Absorber for Spatial Mechanisms (ID: 210),,Dynamics,
92,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synthesis of an Extended Kalman Filter for Cable-Driven Parallel Robots (ID: 199),,Robotics,
93,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Path tracking in cable suspended parallel robots through position-dependent Model Predictive Control with embedded integrator (ID: 201),,Control,
94,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Heuristic Sequencing Method for Time Optimal Tracking of Open and Closed Paths (ID: 138),,Optimization,
95,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Delayed control of an unstable chain of integrator: The relation between the system parameter and the admissible time delay (ID: 167),,Control,
96,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reinforcement Learning Assisted Robotic Contact Tasks (ID: 265),,AI,
97,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Motion Capture Based Model Identification of the Humanoid Robot REEM-C using Static Poses (ID: 233),,Modeling,
98,ECCOMAS Thematic Conference on Multibody Dynamics,2021,High-Speed Trajectory Tracking on Robotic Arm by Learning the Dynamic Response of the PID Controller with a Neural Network (ID: 227),,AI,
99,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Recursive Dynamics Algorithm for Soft Robotic Manipulators Made of Viscoelastic Material (ID: 257),,Robotics,
100,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Mathematical Model and Control Simulation of Hexapod Robot Locomotion in Tripod Gait (ID: 152),,Control,
101,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sensitivity analysis for thermohydrodynamic models: uncertainty analysis and parameter estimation (ID: 136),,Modeling,
102,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the Role of Adjoint Gradients in Time-Optimal Control Problems under Final Constraints (ID: 182),,Optimization,
103,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Discrete adjoint method for the sensitivity analysis of an augmented Lagrangian Index-3 formulation with projections (ID: 224),,Numerical analysis,
104,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Input optimization for flexible multibody systems using the Adjoint Variable Method and the Flexible Natural Coordinate Formulation (ID: 268),,Optimization,
105,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Shape optimization in time variant system through multibody dynamics analysis (ID: 155),,Optimization,
106,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization of a three wheeled tilting vehicle. (ID: 249),,Optimization,
107,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Gradient-Based Computation of Time Optimal Bang-Bang Controls (ID: 220),,Optimization,
108,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Topology Optimization Procedure for Flexible Multibody Systems with Augmented Standard Input Data (ID: 154),,Optimization,
109,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the Dynamics and Optimal Control of Constrained Mechanical Systems (ID: 130),,Optimization,
110,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Nonlinear Optimal Control of Underactuated Mechanical Systems (ID: 250),,Optimization,
111,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Stability chart of a multiple spring-mass system subjected to delayed collocated control (ID: 178),,Control,
112,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reduced Order Interface Modelling for Haptic Simulation and Interfacing (ID: 263),,Modeling,
113,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rod-removal technique for flexible-rods in the framework of semi-recursive multibody formulation (ID: 128),,Formulation,
114,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Enabling Artificial Intelligence Studies in Off-Road Mobility Through Physics-Based Simulation of Multi-Agent Scenarios (ID: 162),,Modeling,
115,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Comparing Semi-recursive Multibody Formulations for Hydraulically Driven Mechanisms (ID: 177),,Formulation,
116,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assessment of Variable Step-Size Integration of Multibody Systems (ID: 172),,Dynamics,
117,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A One-Dimensional Model for Developable Flexible Elastic Strips with Isogeometric Discretisation (ID: 226),,Modeling,
118,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Effective inelastic bending behavior of multi-wire cables using Finite Elements accounting for wire contact (ID: 144),,Modeling,
119,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Stability of coarse grid discretisations for dissipative systems: numerical experiments for a test problem (ID: 148),,Dynamics,
120,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Dynamics of Axially Moving Beams with Transported Discrete Masses and Contact (ID: 151),,Modeling,
121,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A nonsmooth approach to frictionless beam-to-beam contact (ID: 145),,Modeling,
122,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Tensegrity Based Spatial Serial Robots (ID: 219),,Robotics,
123,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analysis of beam-to-beam contact using mortar method (ID: 143),,Modeling,
124,ECCOMAS Thematic Conference on Multibody Dynamics,2021,First steps in data based constitutive modelling of inelastic effects in composite cables using Preisach hysteresis operators (ID: 156),,Modeling,
125,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Nonlinear Cosserat rod statics using homogenized constitutive properties of multi-layered cross-sections (ID: 232),,Dynamics,
126,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Velocity based elements in the analysis post-critical behaviour of spatial frames (ID: 204),,Numerical analysis,
127,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling the rotary inertia of sheaves with the Arbitrary Lagrangian-Eulerian Modal approach (ID: 120),,Modeling,
128,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimized tensegrity structures for the usage in robotics (ID: 240),,Optimization,
129,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Realistic parameters for dynamic simulation of composite cables using a damped Cosserat rod model (ID: 207),,Modeling,
130,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the modelling of flexible slender structures guided through narrow space (ID: 174),,Modeling,
131,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling of spiral strands using 1D finite strain beam model: role of frictional contact interactions in the bending behavior (ID: 190),,Modeling,
132,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simplified mechanical model for balancing a motorbike with steering at zero speed (ID: 229),,Modeling,
133,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Handling Evaluation of Tractor-semitrailer with Split Fifth Wheel Coupling Undergoing an ISO Double Lane Change Manoeuvre (ID: 251),,Dynamics,
134,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of steering laws to assist the driving of a of a 4-wheel steering vehicle (ID: 223),,Vehicle dynamics,
135,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody Dynamic Approach to Risk Analysis of Autonomous Driving Test Scenario (ID: 255),,Numerical analysis,
136,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modeling and Simulation of a High-speed Maglev Vehicle on an Infinite Elastic Guideway (ID: 161),,Modeling,
137,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analysis of the dynamic behavior of a counterbalance forklift truck through multibody modelling and simulation (ID:170),,Modeling,
138,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Reversing a truck-full trailer combination in the presence of feedback delay (ID: 200),,Dynamics,
139,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Dynamic Analysis for a 23-g Flapping Wing Micro Aerial Vehicle (ID: 185),,Numerical analysis,
140,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical analysis of the linearization of the railway multibody equations of motion with moving reference frames (ID:127),,Numerical analysis,
141,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Influence of the Friction Model on the Dynamics of Railway Freight Vehicles (ID: 271),,Modeling,
142,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multi-Stage MBS and FE Simulation Strategy to Design a Safe Motorcycle (ID: 202),,Modeling,
143,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization of flapping wing dynamics for Martian atmosphere via DMOC approach (ID: 275),,Optimization,
144,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Adaptive techniques for Kalman filter estimation based on multibody models (ID: 209),,Modeling,
145,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Survey of the Use of Multibody Simulations in the Development of Trolleybuses (ID: 187),,Modeling,
146,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Surface Error Correction of a Mesh Deployable Reflector (ID: 258),,Dynamics,
147,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model Order Reduction for Elastic Multibody Systems with Fast Rotating Flexible Bodies (ID: 121),,Modeling,
